id,source_name,source_url,company_size,company_industry,company_stage,role_title,role_segment,role_region,metric_name,metric_category,metric_description,value_type,value,value_unit_type,value_unit,notes,metadata,created_at
1,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Sales Development Representative,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,77000,money,USD,Composed of 39% variable compensation and 61% base salary,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.013829+00
2,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Sales Development Representative,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,92000,money,USD,Composed of 39% variable compensation and 61% base salary,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.09654+00
3,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Sales Development Representative,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,108000,money,USD,Composed of 37% variable compensation and 63% base salary,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.185425+00
4,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Sales Development Representative,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,70000,money,USD,Composed of 31% variable compensation and 69% base salary. SDRs at later-stage companies have 5-6% higher OTEs than those at early-stage companies.,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.27061+00
5,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Sales Development Representative,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,97000,money,USD,Composed of 37% variable compensation and 63% base salary. SDRs at later-stage companies have 5-6% higher OTEs than those at early-stage companies.,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.354141+00
6,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Sales Development Representative,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,111000,money,USD,Composed of 28% variable compensation and 72% base salary. SDRs at later-stage companies have 5-6% higher OTEs than those at early-stage companies.,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.439504+00
7,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,SMB,North America,Pipeline Goal to OTE Ratio,capacity,Ratio of expected pipeline generation to on-target earnings,range,5-8x,ratio,x,Pipeline goal ranges from $500K-$550K with OTE of $70K-$80K,"{""page"": ""30"", ""context"": ""Annual SDR pipeline goal vs. OTE and OTE ratio average by rep segment""}",2025-06-13 02:01:07.522851+00
8,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,Mid-Market,North America,Pipeline Goal to OTE Ratio,capacity,Ratio of expected pipeline generation to on-target earnings,range,10-15x,ratio,x,Pipeline goal ranges from $1.0M-$1.5M with OTE of $90K-$100K,"{""page"": ""30"", ""context"": ""Annual SDR pipeline goal vs. OTE and OTE ratio average by rep segment""}",2025-06-13 02:01:07.607728+00
9,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,Enterprise,North America,Pipeline Goal to OTE Ratio,capacity,Ratio of expected pipeline generation to on-target earnings,range,15-20x,ratio,x,Pipeline goal ranges from $2.0M-$2.5M with OTE of $100K-$115K,"{""page"": ""30"", ""context"": ""Annual SDR pipeline goal vs. OTE and OTE ratio average by rep segment""}",2025-06-13 02:01:07.689419+00
10,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Executive,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,150000,money,USD,Composed of 50% variable compensation and 50% base salary,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:07.781383+00
11,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Executive,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,186000,money,USD,Composed of 51% variable compensation and 49% base salary,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:07.863999+00
12,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Executive,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,285000,money,USD,Composed of 53% variable compensation and 47% base salary,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:07.947708+00
13,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Executive,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,164000,money,USD,Composed of 38% variable compensation and 62% base salary. AEs tend to have slightly higher OTEs (+5%) at early-stage companies,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:08.029564+00
14,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Executive,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,196000,money,USD,Composed of 45% variable compensation and 55% base salary. AEs tend to have slightly higher OTEs (+5%) at early-stage companies,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:08.12073+00
15,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Executive,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,300000,money,USD,Composed of 45% variable compensation and 55% base salary. AEs tend to have slightly higher OTEs (+5%) at early-stage companies,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:08.20307+00
16,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,5.8x,ratio,x,"Sales-led growth motion. Quota range: $0.5M-$3M, OTE: $228K","{""page"": ""34, 69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:08.287538+00
17,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Annual Quota,capacity,Expected annual sales target,median,1320000,money,USD,Sales-led growth motion. Quota range: $0.5M-$3M,"{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:08.369197+00
18,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,5.8x,ratio,x,"Product-led growth motion. Quota range: $0.7M-$1.5M, OTE: $242K","{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:08.45195+00
19,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Annual Quota,capacity,Expected annual sales target,median,1400000,money,USD,Product-led growth motion. Quota range: $0.7M-$1.5M,"{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:08.535509+00
20,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Base Commission Rate (New Logo),compensation,Base commission percentage paid on new logo revenue,median,10%,percent,%,Range: 8% (Bottom Quartile) - 12% (Top Quartile),"{""page"": ""36"", ""context"": ""Base commission rates on revenue (ACV) quartile by revenue source""}",2025-06-13 02:01:08.620132+00
21,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Base Commission Rate (Customer Expansion),compensation,Base commission percentage paid on customer expansion revenue,median,10%,percent,%,Range: 7% (Bottom Quartile) - 12% (Top Quartile),"{""page"": ""36"", ""context"": ""Base commission rates on revenue (ACV) quartile by revenue source""}",2025-06-13 02:01:08.701634+00
22,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,B2B SaaS,All,Account Executive,All,North America,Base Commission Rate (Services),compensation,Base commission percentage paid on services revenue,median,5%,percent,%,"Range: 3% (Bottom Quartile) - 10% (Top Quartile). While 53% of companies pay AEs commissions on services revenue, only 38% assign AEs a quota for services revenue","{""page"": ""36"", ""context"": ""Base commission rates for account executives on services revenue""}",2025-06-13 02:01:08.785715+00
23,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,B2B SaaS,All,Account Executive,All,North America,Base Commission Rate (Renewals),compensation,Base commission percentage paid on renewal revenue,median,4%,percent,%,Range: 2% (Bottom Quartile) - 5% (Top Quartile). Less common than new logo and expansion commissions,"{""page"": ""36"", ""context"": ""Base commission rates for account executives on renewal revenue""}",2025-06-13 02:01:08.870958+00
24,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,B2B SaaS,All,All Sales Roles,All,North America,Accelerator Adoption Rate,compensation,Percentage of companies that offer commission accelerators,mean,82%,percent,%,Most companies offer accelerated commission rates for quota over-achievement. 82% of sales organizations offer accelerators to their account executives,"{""page"": ""37"", ""context"": ""Accelerator adoption rates by company size""}",2025-06-13 02:01:08.95252+00
25,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Manager,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,139000,money,USD,Composed of 45% variable compensation and 55% base salary,"{""page"": ""42"", ""context"": ""OTE, variable, and fixed compensation for account managers by rep segment and company stage""}",2025-06-13 02:01:09.034146+00
26,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Manager,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,164000,money,USD,Composed of 42% variable compensation and 58% base salary,"{""page"": ""42"", ""context"": ""OTE, variable, and fixed compensation for account managers by rep segment and company stage""}",2025-06-13 02:01:09.121433+00
27,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Manager,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,169000,money,USD,Composed of 43% variable compensation and 57% base salary,"{""page"": ""42"", ""context"": ""OTE, variable, and fixed compensation for account managers by rep segment and company stage""}",2025-06-13 02:01:09.202416+00
28,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Manager,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,164000,money,USD,Composed of 38% variable compensation and 62% base salary. Account Managers at later-stage companies have ~15% higher OTE and 11% higher base salary than those at early-stage companies,"{""page"": ""42"", ""context"": ""OTE, variable, and fixed compensation for account managers by rep segment and company stage""}",2025-06-13 02:01:09.284794+00
29,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Manager,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,196000,money,USD,Composed of 45% variable compensation and 55% base salary. Account Managers at later-stage companies have ~15% higher OTE and 11% higher base salary than those at early-stage companies,"{""page"": ""42"", ""context"": ""OTE, variable, and fixed compensation for account managers by rep segment and company stage""}",2025-06-13 02:01:09.368941+00
30,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Manager,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,192000,money,USD,Composed of 42% variable compensation and 58% base salary. Account Managers at later-stage companies have ~15% higher OTE and 11% higher base salary than those at early-stage companies,"{""page"": ""42"", ""context"": ""OTE, variable, and fixed compensation for account managers by rep segment and company stage""}",2025-06-13 02:01:09.449131+00
31,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,SMB,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,6.0x,ratio,x,"Quota range: $0.6M-$1M, OTE: $139K","{""page"": ""43"", ""context"": ""Median quota, OTE, and quota ratio for account managers by rep segment and company type""}",2025-06-13 02:01:09.53157+00
32,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,Mid-Market,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,5.4x,ratio,x,"Quota range: $0.7M-$1.2M, OTE: $185K","{""page"": ""43"", ""context"": ""Median quota, OTE, and quota ratio for account managers by rep segment and company type""}",2025-06-13 02:01:09.61257+00
33,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,Enterprise,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,6.7x,ratio,x,"Quota range: $0.9M-$1.5M, OTE: $185K","{""page"": ""43"", ""context"": ""Median quota, OTE, and quota ratio for account managers by rep segment and company type""}",2025-06-13 02:01:09.698862+00
34,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,5.8x,ratio,x,"Sales-led growth motion. Quota range: $0.6M-$1.5M, OTE: $174K","{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:09.783509+00
35,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Annual Quota,capacity,Expected annual sales target,median,1020000,money,USD,Sales-led growth motion. Quota range: $0.6M-$1.5M,"{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:09.864395+00
36,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Quota to OTE Ratio,capacity,Ratio of expected annual quota to on-target earnings,median,6.6x,ratio,x,"Product-led growth motion. PLG companies have higher quota to OTE ratios for account managers. Quota range: $0.7M-$1.8M, OTE: $180K","{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:09.948192+00
37,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Annual Quota,capacity,Expected annual sales target,median,1190000,money,USD,Product-led growth motion. Quota range: $0.7M-$1.8M,"{""page"": ""69"", ""context"": ""Median quota, OTE, and quota ratios by role and sales-led vs. product-led growth""}",2025-06-13 02:01:10.029537+00
38,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Base Commission Rate (New Logo),compensation,Base commission percentage paid on new logo revenue,median,10%,percent,%,Range: 5% (Bottom Quartile) - 15% (Top Quartile). Companies that offer account managers commission on new logo revenue are typically bottom-up or PLG companies that don't have a dedicated new logo / account executive team,"{""page"": ""45"", ""context"": ""Base commission rate for account managers on revenue (ACV) quartiles by revenue source""}",2025-06-13 02:01:10.119425+00
39,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Base Commission Rate (Customer Expansion),compensation,Base commission percentage paid on customer expansion revenue,median,9%,percent,%,Range: 4% (Bottom Quartile) - 10% (Top Quartile),"{""page"": ""45"", ""context"": ""Base commission rate for account managers on revenue (ACV) quartiles by revenue source""}",2025-06-13 02:01:10.20471+00
40,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Base Commission Rate (Services),compensation,Base commission percentage paid on services revenue,median,5%,percent,%,Range: 3% (Bottom Quartile) - 10% (Top Quartile),"{""page"": ""45"", ""context"": ""Base commission rate for account managers on revenue (ACV) quartiles by revenue source""}",2025-06-13 02:01:10.305721+00
41,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Base Commission Rate (Renewals),compensation,Base commission percentage paid on renewal revenue,median,5%,percent,%,Range: 3% (Bottom Quartile) - 8% (Top Quartile),"{""page"": ""45"", ""context"": ""Base commission rate for account managers on revenue (ACV) quartiles by revenue source""}",2025-06-13 02:01:10.391432+00
42,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Manager,All,North America,Base Commission Rate (PLG Self-service Expansion),compensation,Base commission percentage paid on self-service expansion revenue in PLG companies,median,10%,percent,%,Range: 5% (Bottom Quartile) - 15% (Top Quartile). Employees responsible for converting self-service accounts at PLG companies have a broader band of commission rates (5-15%) compared to commission rates for sales-led revenue (7-12%),"{""page"": ""68"", ""context"": ""Base commission rates on revenue (ACV) quartile by revenue source""}",2025-06-13 02:01:10.479315+00
43,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Customer Success Manager,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,range,85000-100000,money,USD,Composed of 20-30% variable compensation and 70-80% base salary. 84% of respondents reported their CSMs have variable compensation,"{""page"": ""47"", ""context"": ""OTE (all-in cash compensation) and % variable range by role & rep segment""}",2025-06-13 02:01:10.567568+00
44,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Customer Success Manager,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,range,100000-125000,money,USD,Composed of 15-25% variable compensation and 75-85% base salary. 84% of respondents reported their CSMs have variable compensation,"{""page"": ""47"", ""context"": ""OTE (all-in cash compensation) and % variable range by role & rep segment""}",2025-06-13 02:01:10.648406+00
45,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Customer Success Manager,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,range,130000-155000,money,USD,Composed of 20-30% variable compensation and 70-80% base salary. 84% of respondents reported their CSMs have variable compensation,"{""page"": ""47"", ""context"": ""OTE (all-in cash compensation) and % variable range by role & rep segment""}",2025-06-13 02:01:10.731634+00
46,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Customer Success Manager,Combined,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,range,120000-125000,money,USD,Composed of 15-20% variable compensation and 80-85% base salary. 84% of respondents reported their CSMs have variable compensation,"{""page"": ""47"", ""context"": ""OTE (all-in cash compensation) and % variable range by role & rep segment""}",2025-06-13 02:01:10.812618+00
47,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,B2B SaaS,All,Customer Success Manager,All,North America,Variable Compensation Adoption,compensation,Percentage of companies providing variable compensation to CSMs,mean,84%,percent,%,"Most companies provide some form of variable compensation to customer success managers, though typically lower percentage than sales roles","{""page"": ""47"", ""context"": ""CSM variable compensation adoption rates""}",2025-06-13 02:01:10.895601+00
48,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,All,North America,Ramp Time,capacity,Time for a new sales hire to reach full productivity,median,2.8,duration,months,Average ramp time for SDRs across all company segments,"{""page"": ""51"", ""context"": ""Organization's average ramp time (months) for sales reps by company segment and type""}",2025-06-13 02:01:10.980325+00
49,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Ramp Time,capacity,Time for a new sales hire to reach full productivity,median,4.9,duration,months,Average ramp time for AEs across all company segments,"{""page"": ""51"", ""context"": ""Organization's average ramp time (months) for sales reps by company segment and type""}",2025-06-13 02:01:11.065358+00
50,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Account Executive,All,North America,Quota Attainment,capacity,Percentage of AEs achieving their assigned quota,mean,64%,percent,%,"2023 data for companies with $50M-$250M ARR. Compared to 2021, average quota attainment is down ~5 points for early- and growth-stage companies","{""page"": ""54"", ""context"": ""What percent of your organization's ramped account executives achieve quota? 2021 vs 2023 average by ARR scale""}",2025-06-13 02:01:11.14861+00